Table 1
اون لاين,زيارة منزلية,العيادة,الكود,اسم مقدم الخدمة,المحافظة,المنطقة,الخدمة,الدرجة العلمية,التخصص,الفروع,العنوان,تليفون1,واتساب,تليفون2,مواعيد اون لاين,مواعيد العيادة,سعر الكشف,نسبة خصم كشف الاون لاين,نسبة خصم كشف العيادة,الزيارة المنزلية,الاسعار,نسبة خصم الاسعر,الاتعاب الادارية,تاريخ التنشيط,الرقم الخاص,مسؤول التعاقد,التليفون,الموقع,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,مصر الجديدة,صيدلية,ادوية,ادوية,فرع,نادى الشمس 97 شارع فريد ناصية فريد سميكة,01501900644,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,مصر الجديدة,صيدلية,ادوية,ادوية,فرع,ميدان المحكمة 9 شارع عاطف بركات ناصية اباظة,01017717714,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,مصر الجديدة,صيدلية,ادوية,ادوية,فرع,شارع الحجاز بجوار ماكدونالدز المريلاند,01555612000,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,مساكن الشيراتون,صيدلية,ادوية,ادوية,فرع,شارع سيد زكريا الانتصار سابقا - امام سوبر ماركت مترو,01555712000,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,مدينة نصر,صيدلية,ادوية,ادوية,فرع,29شارع مكرم عبيد بجوار جزارة سلامة,01211510000,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,سراى القبة,صيدلية,ادوية,ادوية,فرع,17شارع بنى طى - بجوار سوق سراى القبة,01148484244,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,حمامات القبة,صيدلية,ادوية,ادوية,فرع,20شارع دار السلام بجوار كنيسة مارجرجس,01022501500,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,حدائق القبة,صيدلية,ادوية,ادوية,فرع,كنيسة دير الملاك - 23شارع ترعه الجبل حارة الامام,01270055800,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,حدائق القبة,صيدلية,ادوية,ادوية,فرع,86شارع ترعه الجبل بجوار مترو الدمرداش,01028881114,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,الظاهر,صيدلية,ادوية,ادوية,فرع,شارع العباسية قبل ميدان الظاهر,01006555440,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,الزيتون,صيدلية,ادوية,ادوية,فرع,بيت العز الزيتون ميدان ابن الحكم عمارات بيت العز,01070000735,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,التجمع الخامس,صيدلية,ادوية,ادوية,فرع,مول 3 سكايز خلف امريكان بلازا القطاع الرابع قطعة 20,01277772595,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1-1,صيدليات دوس,القاهرة,التجمع الثالث,صيدلية,ادوية,ادوية,فرع,حى الدبلوماسيين - القاهرة الجديدة,01500066300,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
Online,No,Offline,1,صيدليات دوس,القاهرة,الزيتون,صيدلية,ادوية,ادوية,المقر الرئيسى,109شارع طومانباى ناصية السجل المدنى,01557888847,,,,,,,,,اسعار خاصة,نسبة خصم الادوية المحلية 8% والادوية المستورد 4%,0.02,8/1/24,01140089552,دكتور وائل,,,
